Source,Album,Rank
Robert Christgau: Dean's List 2020,various artists — Hanging Tree Guitars,1
Robert Christgau: Dean's List 2020,Run the Jewels — RTJ4,2
Robert Christgau: Dean's List 2020,Cheveu & Group Doueh — Dakhla Sahara Session,3
Robert Christgau: Dean's List 2020,Fiona Apple — Fetch the Bolt Cutters,4
Robert Christgau: Dean's List 2020,Lucinda Williams — Good Souls Better Angels,5
Robert Christgau: Dean's List 2020,Backxwash — Deviancy,6
Robert Christgau: Dean's List 2020,Billy Nomates — Billy Nomates,7
Robert Christgau: Dean's List 2020,Dramarama — Color TV,8
Robert Christgau: Dean's List 2020,Lori McKenna — The Balladeer,9
Robert Christgau: Dean's List 2020,Wussy — Ghosts,10
Robert Christgau: Dean's List 2020,"Black Thought — Streams of Thought, Vol. 2",11
Robert Christgau: Dean's List 2020,Peter Stampfel And The Bottle Caps — Demo '84,12
Robert Christgau: Dean's List 2020,The Human Hearts — Day of the Tiles,13
Robert Christgau: Dean's List 2020,Martin Creed — Thoughts Lined Up,14
Robert Christgau: Dean's List 2020,Sam Hunt — Southside,15
Robert Christgau: Dean's List 2020,Bob Dylan — Rough and Rowdy Ways,16
Robert Christgau: Dean's List 2020,Young M.A — Herstory in the Making,17
Robert Christgau: Dean's List 2020,Bktherula — Nirvana,18
Robert Christgau: Dean's List 2020,Public Enemy — What You Gonna Do When The Grid Goes Down?,19
Robert Christgau: Dean's List 2020,Taylor Swift — Evermore,20
Robert Christgau: Dean's List 2020,Sad13 — Haunted Painting,21
Robert Christgau: Dean's List 2020,Guiss Guiss Bou Bess — Set Sela,22
Robert Christgau: Dean's List 2020,Ashley McBryde — Never Will,23
Robert Christgau: Dean's List 2020,McCarthy Trenching — Perfect Game,24
Robert Christgau: Dean's List 2020,75 Dollar Bill Little Big Band — Live at Tubby's,25
Robert Christgau: Dean's List 2020,Kirby Heard — Mama's Biscuits,26
Robert Christgau: Dean's List 2020,"Black Thought — Streams of Thought, Vol. 3: Cane & Able",27
Robert Christgau: Dean's List 2020,Eminem — Music to Be Murdered By,28
Robert Christgau: Dean's List 2020,Hinds — The Prettiest Curse,29
Robert Christgau: Dean's List 2020,Les Amazones d’Afrique — Amazones Power,30
Robert Christgau: Dean's List 2020,Yonic South — Twix and Dive,31
Robert Christgau: Dean's List 2020,The Chicks — Gaslighter,32
Robert Christgau: Dean's List 2020,"Black Thought — Streams of Thought, Vol. 1",33
Robert Christgau: Dean's List 2020,Elizabeth Cook — Aftermath,34
Robert Christgau: Dean's List 2020,Waxahatchee — Saint Cloud,35
Robert Christgau: Dean's List 2020,X — Alphabetland,36
Robert Christgau: Dean's List 2020,Serengeti — With Greg from Deerhoof,37
Robert Christgau: Dean's List 2020,Haim — Women in Music Pt. III,38
Robert Christgau: Dean's List 2020,Brandy Clark — Your Life Is a Record,39
Robert Christgau: Dean's List 2020,Princess Nokia — Everything is Beautiful,40
Robert Christgau: Dean's List 2020,various artists — On The Road: A Tribute To John Hartford,41
Robert Christgau: Dean's List 2020,Kehlani — It Was Good Until It Wasn't,42
Robert Christgau: Dean's List 2020,Phoebe Bridgers — If We Make It Through December,43
Robert Christgau: Dean's List 2020,Will Butler — Generations,44
Robert Christgau: Dean's List 2020,Sunny Sweeney — Recorded Live at the Machine Shop Recording Studio,45
Robert Christgau: Dean's List 2020,various artists — New Orleans Mambo,46
Robert Christgau: Dean's List 2020,Dream Wife — So When You Gonna...,47
Robert Christgau: Dean's List 2020,Hamell On Trial — The Pandemic Songs,48
Robert Christgau: Dean's List 2020,Low Cut Connie — Private Lives,49
Robert Christgau: Dean's List 2020,Mukdad Rothenberg Lankow — In the Wake of Memories,50
Robert Christgau: Dean's List 2020,City Girls — City on Lock,51
Robert Christgau: Dean's List 2020,Clem Snide — Forever Just Beyond,52
Robert Christgau: Dean's List 2020,Chicago Farmer — Flyover Country,53
Robert Christgau: Dean's List 2020,Justin Farren — Pretty Free,54
Robert Christgau: Dean's List 2020,Munson​-​Hicks Party Supplies — Munson​-​Hicks Party Supplies,55
Robert Christgau: Dean's List 2020,Fontaines D.C. — A Hero's Death,56
Robert Christgau: Dean's List 2020,Ka — Descendants of Cain,57
Robert Christgau: Dean's List 2020,Toots and the Maytals — Got to Be Tough,58
Robert Christgau: Dean's List 2020,"Open Mike Eagle — Anime, Trauma and Divorce",59
Robert Christgau: Dean's List 2020,Drive-By Truckers — The Unraveling,60
Robert Christgau: Dean's List 2020,No Age — Goons Be Gone,61
Robert Christgau: Dean's List 2020,Lil Wayne — Funeral,62
Robert Christgau: Dean's List 2020,Etran de L'Aïr — No. 1,63
Robert Christgau: Dean's List 2020,Westside Gunn — Pray for Paris,64
Robert Christgau: Dean's List 2020,Hayes Carll — Alone Together Sessions,65
Robert Christgau: Dean's List 2020,Dawn Oberg — 2020 Revision,66
Robert Christgau: Dean's List 2020,Serengeti and Kenny Segal — Ajai,67
Robert Christgau: Dean's List 2020,Grrrl Gang — Here To Stay,68
Robert Christgau: Dean's List 2020,Chad Matheny — United Earth League of Quarantine Aerobics,69
Robert Christgau: Dean's List 2020,Al Bilali Soudan — Tombouctou,70
